date:1478352712,lat:47.08061972,long:2.40596979;
date:1478352722,lat:47.08072909,long:2.405957;
date:1478352732,lat:47.08069002,long:2.40621889;
date:1478352742,lat:47.08060423,long:2.40647472;
date:1478352752,lat:47.08061086,long:2.40654359;
date:1478352762,lat:47.08061394,long:2.40682157;
date:1478352772,lat:47.08059505,long:2.40701847;
date:1478352782,lat:47.08083219,long:2.40707948;
date:1478352792,lat:47.08106937,long:2.4072171;
date:1478352802,lat:47.08104875,long:2.40763276;
date:1478352812,lat:47.08087739,long:2.40767552;
date:1478352822,lat:47.08117938,long:2.40788352;
date:1478352832,lat:47.08118907,long:2.40825775;
date:1478352842,lat:47.08118399,long:2.40830474;
date:1478352852,lat:47.08116319,long:2.40858114;
date:1478352862,lat:47.08120166,long:2.40875099;
date:1478352872,lat:47.08120911,long:2.40905147;
date:1478352882,lat:47.08142231,long:2.40920697;
date:1478352892,lat:47.08129761,long:2.40935918;
date:1478352903,lat:47.08130696,long:2.40966159;
date:1478352913,lat:47.0813748,long:2.40990438;
date:1478352923,lat:47.0815946,long:2.40996591;
date:1478352933,lat:47.08176551,long:2.41021262;
date:1478352943,lat:47.08158728,long:2.41040307;
date:1478352953,lat:47.08158759,long:2.41095351;
date:1478352963,lat:47.08164518,long:2.41091628;
date:1478352973,lat:47.0817599,long:2.41106979;
date:1478352983,lat:47.08174444,long:2.41139574;
date:1478352993,lat:47.08180564,long:2.41145817;
date:1478353003,lat:47.0818454,long:2.41166313;
date:1478353013,lat:47.08192832,long:2.41196281;
date:1478353023,lat:47.0820137,long:2.4119039;
date:1478353033,lat:47.08202583,long:2.41230893;
date:1478353043,lat:47.08203477,long:2.4126374;
date:1478353053,lat:47.08209133,long:2.41268757;
date:1478353063,lat:47.08213738,long:2.41288496;
date:1478353073,lat:47.0821852,long:2.41318886;
date:1478353083,lat:47.08217636,long:2.41331256;
date:1478353093,lat:47.08216946,long:2.41362968;
date:1478353103,lat:47.08233052,long:2.41394677;
date:1478353113,lat:47.08237911,long:2.41390721;
date:1478353123,lat:47.08233574,long:2.41434866;
date:1478353133,lat:47.08242535,long:2.4144607;
date:1478353143,lat:47.0823191,long:2.41470028;
date:1478353153,lat:47.08239079,long:2.4149106;
date:1478353163,lat:47.08243242,long:2.41500159;
date:1478353173,lat:47.08249037,long:2.41527496;
date:1478353183,lat:47.0825341,long:2.41541862;
date:1478353193,lat:47.08261819,long:2.41563484;
date:1478353203,lat:47.08285865,long:2.41581654;
date:1478353213,lat:47.08249131,long:2.415853;
date:1478353223,lat:47.08239553,long:2.41590053;
date:1478353233,lat:47.08229486,long:2.41601437;
date:1478353243,lat:47.08229486,long:2.41601437;
date:1478353253,lat:47.08229155,long:2.41615839;
date:1478353263,lat:47.08229805,long:2.41610014;
date:1478353273,lat:47.08248358,long:2.41585286;
date:1478353283,lat:47.08194326,long:2.41628615;
date:1478353293,lat:47.08209226,long:2.41632797;
date:1478353304,lat:47.08216669,long:2.4165209;
date:1478353314,lat:47.08203906,long:2.41629098;
date:1478353324,lat:47.08211253,long:2.41636863;
date:1478353334,lat:47.08207847,long:2.41575281;
date:1478353344,lat:47.08223186,long:2.41567997;
date:1478353354,lat:47.08223463,long:2.41575607;
date:1478353364,lat:47.08237545,long:2.41597688;
date:1478353374,lat:47.08237545,long:2.41597688;
date:1478353384,lat:47.08220631,long:2.41576887;
date:1478353394,lat:47.08220631,long:2.41576887;
date:1478353404,lat:47.08220631,long:2.41576887;
date:1478353414,lat:47.08220631,long:2.41576887;
date:1478353424,lat:47.08220631,long:2.41576887;
date:1478353434,lat:47.08220631,long:2.41576887;
date:1478353444,lat:47.08218462,long:2.41567514;
date:1478353454,lat:47.08218462,long:2.41567514;
date:1478353464,lat:47.08218462,long:2.41567514;
date:1478353474,lat:47.08218462,long:2.41567514;
date:1478353484,lat:47.08218462,long:2.41567514;
date:1478353494,lat:47.08236568,long:2.41563821;
date:1478353504,lat:47.08236568,long:2.41563821;
date:1478353514,lat:47.08236568,long:2.41563821;
date:1478353524,lat:47.08238222,long:2.41547474;
date:1478353534,lat:47.0823976,long:2.41548298;
date:1478353544,lat:47.08238722,long:2.41547653;
date:1478353554,lat:47.08238829,long:2.41548016;
date:1478353564,lat:47.08238829,long:2.41548016;
date:1478353574,lat:47.08238832,long:2.41548064;
date:1478353584,lat:47.08238832,long:2.41548063;
date:1478353594,lat:47.08238832,long:2.41548063;
date:1478353604,lat:47.08238895,long:2.41548065;
date:1478353614,lat:47.08238863,long:2.41548077;
date:1478353624,lat:47.08238884,long:2.41548039;
date:1478353634,lat:47.08238884,long:2.41548039;
date:1478353644,lat:47.08237879,long:2.41549898;
date:1478353654,lat:47.08237855,long:2.41549899;
date:1478353665,lat:47.08237855,long:2.41549899;
date:1478353675,lat:47.0823782,long:2.41549833;
date:1478353685,lat:47.0823782,long:2.41549833;
date:1478353695,lat:47.08237888,long:2.41549912;
date:1478353705,lat:47.0823788,long:2.41549907;
date:1478353715,lat:47.08237953,long:2.41549955;
date:1478353725,lat:47.08238072,long:2.41549937;
date:1478353735,lat:47.08238034,long:2.41549878;
date:1478353745,lat:47.08238043,long:2.41549925;
date:1478353755,lat:47.08238111,long:2.41549999;
date:1478353765,lat:47.0823811,long:2.41550032;
date:1478353775,lat:47.08238118,long:2.41550086;
date:1478353785,lat:47.08238169,long:2.41550144;
date:1478353795,lat:47.08238204,long:2.41550172;
date:1478353805,lat:47.08240747,long:2.41549784;
date:1478353815,lat:47.08240709,long:2.41549905;
date:1478353825,lat:47.08240646,long:2.41549481;
date:1478353835,lat:47.08240701,long:2.41549564;
date:1478353845,lat:47.08240677,long:2.41549704;
date:1478353855,lat:47.08240675,long:2.41549703;
date:1478353865,lat:47.08240661,long:2.41549916;
date:1478353875,lat:47.08240653,long:2.41549959;
date:1478353885,lat:47.08240582,long:2.41550039;
date:1478353895,lat:47.08240602,long:2.41550139;
date:1478353905,lat:47.08240662,long:2.41550139;
date:1478353915,lat:47.08240618,long:2.41550142;
date:1478353925,lat:47.08240584,long:2.41550099;
date:1478353935,lat:47.08240574,long:2.41550094;
date:1478353945,lat:47.08240542,long:2.41550248;
date:1478353955,lat:47.08240442,long:2.41550472;
date:1478353965,lat:47.08240383,long:2.41550552;
date:1478353975,lat:47.08240272,long:2.41550839;
date:1478353985,lat:47.08240214,long:2.41550855;
date:1478353995,lat:47.08240202,long:2.41550857;
date:1478354005,lat:47.08240262,long:2.41550855;
date:1478354015,lat:47.08240262,long:2.41550855;
date:1478354025,lat:47.08238149,long:2.41558743;
date:1478354035,lat:47.0823853,long:2.41559246;
date:1478354045,lat:47.0823873,long:2.41559306;
date:1478354056,lat:47.08238709,long:2.41559328;
date:1478354066,lat:47.08238627,long:2.41559433;
